[TF특징주] 이마트 SK와이번스 인수 소식에 4%대 약세,더팩트
SK와이번스 역사 속으로! SK는 왜 팔았을까?…새 이름 SSG?,KBS
신세계 이마트 SK와이번스 품는다…정용진의 큰 그림은?,SBS Biz
주인 바뀐 SK 와이번스 1990년 LG·1996년 현대처럼 반등할까,뉴스1
돈 안 되는 사업 접던 정용진…SK 와이번스는 왜?,SBS Biz
'SK 와이번스' 구단주 된 정용진…'유통+스포츠' 시너지 내나,TV조선
1353억 원에 SK와이번스 인수…돔구장 건립 추진,MBC
SK와이번스 역사 속으로! SK는 왜 팔았을까?…새 이름 SSG?,KBS
[이건머니] 신세계의 SK 와이번스 인수...스타필드 안에 야구장 들어설까?,SBS
SK 와이번스 신세계그룹에 매각…아무도 몰랐다,한국일보
SK 왕조 일군 김성근 전 감독…“와이번스 매각 삶의 일부분 사라진 느낌”,한겨레
[단독] 이마트가 인수한 SK와이번스 새 이름은 ‘쓱야구단’,조선일보
[TF초점] '와이번스 품은' 정용진 파격 승부수…'유통X스포츠' 비즈니스 새 ...,더팩트
SK와이번스 매각 전날까지 유니폼 할인판매,MK스포츠
이마트 SK와이번스 야구단 인수...'스포테인먼트' 새 먹거리 키운다,전자신문
이마트 SK와이번스 인수 관련 실적 영향 미미-유진,e대한경제
'이마트가 낫지' NC 박민우 "와이번스 팬들에게도 죄송" (전문),이데일리
[SC스토리] '굿바이' SK 와이번스 사진으로 본 21년의 역사,스포츠조선
SK와이번스 품은 이마트 증권가 "투자자들 반기진 않지만…"[이슈+],한국경제
신세계의 SK 와이번스 인수 어떤 절차 밟나…KBO 총회 통과해야,연합뉴스
20년 역사 뒤로하고 떠나는 SK 와이번스,뉴스1
SK “야구단 매각은 ESG 경영 연장선 비인기종목 계속 지원”,중앙일보
김원형 감독 "SK는 집 같았던 곳…팀 분위기 바로잡겠다",연합뉴스
정용진은 왜 'SK 와이번스'를 품었나…인수 배경 '주목',MBN
SK 와이번스 이마트 유니폼으로 갈아 입나,국민일보
